Unnamed: 0.1,Unnamed: 0,User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web,Card Category,Rating
0,0,0,0,Visa,Debit,4.34468E+15,Dec-22,623,YES,2,"$24,295 ",Sep-02,2008,No,Visa Gold,0
1,1,0,1,Visa,Debit,4.95697E+15,Dec-20,393,YES,2,"$21,968 ",Apr-14,2014,No,Visa Platinum,0.060261484
2,2,0,2,Visa,Debit,4.58231E+15,Feb-24,719,YES,2,"$46,414 ",Jul-03,2004,No,Visa Gold,0
3,3,0,3,Visa,Credit,4.87949E+15,Aug-24,693,NO,1,"$12,400 ",Jan-03,2012,No,Visa Gold,0
4,4,0,4,Mastercard,Debit (Prepaid),5.72287E+15,Mar-09,75,YES,1,$28 ,Sep-08,2009,No,Mastercard Platinum,0.251014377
5,5,1,0,Visa,Credit,4.4049E+15,Sep-03,736,YES,1,"$27,500 ",Sep-03,2012,No,Visa Platinum,0.205179953
6,6,1,1,Visa,Debit,4.00148E+15,Jul-22,972,YES,2,"$28,508 ",Feb-11,2011,No,Visa Classic,0.667115147
7,7,1,2,Mastercard,Debit,5.62722E+15,Jun-22,48,YES,2,"$9,022 ",Jul-03,2015,No,Mastercard Gold,0
8,8,1,3,Mastercard,Debit (Prepaid),5.71138E+15,Nov-20,722,YES,2,$54 ,Jun-10,2015,No,Mastercard Gold,0
9,9,1,4,Mastercard,Debit (Prepaid),5.76612E+15,Feb-23,908,YES,1,$99 ,Jul-06,2012,No,Mastercard Standard,0.125238255
10,10,2,0,Mastercard,Debit,5.4952E+15,Mar-22,677,YES,2,"$31,599 ",Oct-09,2009,No,Mastercard Standard,0.09173853
11,11,2,1,Mastercard,Debit,5.8045E+15,Jul-23,258,NO,2,"$27,480 ",Mar-02,2008,No,Mastercard Platinum,0.181404545
12,12,2,2,Mastercard,Debit,5.76635E+15,Feb-20,992,YES,1,"$26,743 ",Mar-19,2019,No,Mastercard Gold,0
13,13,2,3,Visa,Debit,4.24202E+15,Jun-20,928,YES,1,"$31,463 ",Apr-14,2014,No,Visa Classic,0.19514984
14,14,2,4,Mastercard,Debit,5.19103E+15,Jun-24,360,YES,1,"$16,055 ",Sep-09,2009,No,Mastercard Standard,0.09173853
15,15,3,0,Visa,Credit,4.01726E+15,May-15,877,YES,2,"$98,100 ",Jan-11,2011,No,Visa Platinum,0.237619848
16,16,3,1,Mastercard,Debit (Prepaid),5.58197E+15,Jun-20,448,YES,1,$62 ,Feb-07,2007,No,Mastercard Gold,0
17,17,3,2,Visa,Debit,4.03224E+15,Jun-22,53,YES,1,"$132,439 ",Nov-10,2011,No,Visa Platinum,0.237619848
18,18,3,3,Visa,Debit,4.93597E+15,Jun-20,649,YES,1,"$125,723 ",Oct-09,2010,No,Visa Classic,0.249975289
19,19,4,0,Mastercard,Debit,5.90503E+15,Jan-22,886,YES,1,"$34,900 ",Dec-99,2012,No,Mastercard Platinum,1
20,20,5,0,Visa,Credit,4.09962E+15,Sep-21,74,YES,2,"$9,900 ",Jan-02,2019,No,Visa Gold,0
21,21,5,1,Visa,Debit,4.2812E+15,Jul-13,865,YES,2,"$21,587 ",Sep-07,2007,No,Visa Gold,0
22,22,5,2,Visa,Credit,4.41146E+15,Nov-22,922,YES,2,"$15,800 ",Nov-05,2011,No,Visa Gold,0
23,23,6,0,Mastercard,Debit,5.20248E+15,Apr-22,861,YES,1,"$29,964 ",Jun-05,2014,No,Mastercard Platinum,0.625562206
24,24,6,1,Mastercard,Credit,5.08977E+15,Jul-23,686,YES,2,"$11,200 ",Sep-10,2010,No,Mastercard Standard,0
25,25,6,2,Mastercard,Debit,5.76734E+15,Dec-21,669,NO,2,"$26,753 ",Oct-14,2014,No,Mastercard Platinum,0.625562206
26,26,7,0,Visa,Debit,4.59583E+15,May-23,689,NO,2,"$17,480 ",Jan-20,2020,No,Visa Classic,0
27,27,8,0,Mastercard,Debit,5.34105E+15,Sep-21,396,YES,2,"$26,546 ",Nov-09,2009,No,Mastercard Platinum,0.241591784
28,28,8,1,Mastercard,Debit,5.66883E+15,Jan-21,356,YES,1,"$23,253 ",Sep-17,2017,No,Mastercard Gold,0
29,29,8,2,Visa,Credit,4.40006E+15,Feb-21,497,YES,1,"$16,100 ",Jan-05,2014,No,Visa Platinum,0.043731279
30,30,8,3,Visa,Credit,4.80855E+15,Feb-21,921,YES,2,"$8,700 ",Jan-12,2012,No,Visa Platinum,0.043731279
31,31,8,4,Mastercard,Debit,5.22474E+15,Jan-19,922,YES,1,"$29,333 ",May-12,2012,No,Mastercard Platinum,0.241591784
32,32,9,0,Mastercard,Debit,5.29418E+15,Jul-24,265,YES,2,"$9,496 ",Jul-09,2012,No,Mastercard Platinum,1
33,33,10,0,Visa,Debit,4.8578E+15,Jul-21,930,YES,1,"$25,499 ",Feb-20,2020,No,Visa Gold,0
34,34,10,1,Visa,Debit,4.32406E+15,Feb-20,358,YES,1,"$18,641 ",Feb-20,2020,No,Visa Platinum,0.478723404
35,35,11,0,Visa,Debit,4.85264E+15,May-23,995,YES,1,"$26,019 ",Jan-20,2020,No,Visa Classic,0
36,36,12,0,Mastercard,Debit,5.65638E+15,Jan-21,547,YES,1,"$25,845 ",Feb-20,2020,No,Mastercard Standard,0
37,37,13,0,Visa,Debit,4.55693E+15,Jun-23,64,YES,2,"$2,365 ",Jan-07,2009,No,Visa Classic,0.00246137
38,38,13,1,Mastercard,Debit,5.51578E+15,Jun-23,419,YES,2,"$18,684 ",Jul-06,2017,No,Mastercard Standard,0
39,39,13,2,Visa,Credit,4.50839E+15,Feb-21,364,NO,2,"$7,400 ",Feb-20,2020,No,Visa Platinum,0.510187338
40,40,14,0,Mastercard,Debit,5.54827E+15,Dec-24,145,YES,2,"$4,147 ",Dec-08,2016,No,Mastercard Standard,0
41,41,15,0,Visa,Debit (Prepaid),4.98627E+15,Apr-22,385,YES,1,$76 ,Dec-12,2012,No,Visa Gold,0
42,42,15,1,Discover,Credit,6.72606E+15,Jan-09,105,NO,1,"$4,700 ",Dec-08,2014,No,,0
43,43,15,2,Visa,Credit,4.15711E+15,Jun-21,433,YES,2,"$5,800 ",Aug-07,2011,No,Visa Classic,0.44388805
44,44,15,3,Mastercard,Debit,5.23146E+15,Mar-24,754,YES,2,"$12,082 ",Aug-16,2016,No,Mastercard Standard,0.076896694
45,45,15,4,Mastercard,Credit,5.07484E+15,Mar-23,741,NO,2,"$6,000 ",Jun-02,2010,No,Mastercard Standard,0.076896694
46,46,15,5,Visa,Debit,4.98637E+15,Nov-09,367,YES,1,$620 ,Feb-02,2014,No,Visa Classic,0.44388805
47,47,16,0,Mastercard,Debit,5.89201E+15,Aug-22,879,YES,1,"$14,499 ",Jan-08,2008,No,Mastercard Standard,0.499357785
48,48,16,1,Mastercard,Debit,5.17916E+15,Jul-23,457,YES,2,"$12,332 ",Aug-07,2009,No,Mastercard Standard,0.499357785
49,49,16,2,Mastercard,Debit,5.56964E+15,Sep-24,904,YES,1,"$18,424 ",Aug-13,2013,No,Mastercard Standard,0.499357785
50,50,16,3,Visa,Credit,4.70891E+15,Jul-23,149,NO,1,"$15,400 ",Aug-03,2008,No,Visa Platinum,0.148066219
51,51,16,4,Visa,Debit,4.79572E+15,Feb-22,136,YES,2,"$14,548 ",Aug-07,2013,No,Visa Classic,0.212144998
52,52,16,5,Mastercard,Credit,5.30016E+15,Dec-16,740,YES,2,"$10,100 ",Sep-16,2016,No,Mastercard Standard,0.499357785
53,53,17,0,Discover,Credit,6.58024E+15,Apr-11,416,YES,1,"$11,200 ",Feb-04,2008,No,,0
54,54,17,1,Mastercard,Debit,5.03246E+15,Oct-24,240,YES,2,"$20,291 ",Dec-09,2011,No,Mastercard Standard,0.004420866
55,55,17,2,Visa,Debit,4.38232E+15,Aug-18,852,YES,1,"$32,092 ",Jan-06,2010,No,Visa Classic,0.408045977
56,56,17,3,Mastercard,Debit,5.45681E+15,Feb-20,217,YES,1,"$20,463 ",Jan-20,2020,No,Mastercard Standard,0.004420866
57,57,18,0,Visa,Debit,4.46536E+15,Aug-22,738,YES,1,"$15,802 ",Jan-20,2020,No,Visa Gold,0
58,58,18,1,Visa,Debit,4.66845E+15,Feb-20,314,NO,2,"$4,612 ",Feb-20,2020,No,Visa Classic,0.380952381
59,59,18,2,Discover,Credit,6.3776E+15,Jul-20,675,YES,2,"$19,900 ",Jan-20,2020,No,,0
60,60,19,0,Mastercard,Debit (Prepaid),5.11709E+15,Oct-20,42,YES,1,$73 ,Feb-00,2012,No,Mastercard Platinum,0.243344627
61,61,19,1,Mastercard,Debit,5.37786E+15,Jan-24,24,YES,1,"$11,858 ",Sep-09,2010,No,Mastercard Standard,0.115823653
