,User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web,Credit Card Category
0,0,0,Visa,Debit,4344676511950444,12/2022,623,YES,2,$24295,09/2002,2008,No,Classic
1,0,1,Visa,Debit,4956965974959986,12/2020,393,YES,2,$21968,04/2014,2014,No,UNKNOWN
2,0,2,Visa,Debit,4582313478255491,02/2024,719,YES,2,$46414,07/2003,2004,No,Infinite
3,0,3,Visa,Credit,4879494103069057,08/2024,693,NO,1,$12400,01/2003,2012,No,UNKNOWN
4,0,4,Mastercard,Debit (Prepaid),5722874738736011,03/2009,75,YES,1,$28,09/2008,2009,No,UNKNOWN
5,1,0,Visa,Credit,4404898874682993,09/2003,736,YES,1,$27500,09/2003,2012,No,Classic
6,1,1,Visa,Debit,4001482973848631,07/2022,972,YES,2,$28508,02/2011,2011,No,Platinum
7,1,2,Mastercard,Debit,5627220683410948,06/2022,48,YES,2,$9022,07/2003,2015,No,UNKNOWN
8,1,3,Mastercard,Debit (Prepaid),5711382187309326,11/2020,722,YES,2,$54,06/2010,2015,No,UNKNOWN
9,1,4,Mastercard,Debit (Prepaid),5766121508358701,02/2023,908,YES,1,$99,07/2006,2012,No,UNKNOWN
10,2,0,Mastercard,Debit,5495199163052054,03/2022,677,YES,2,$31599,10/2009,2009,No,Standard
11,2,1,Mastercard,Debit,5804499644308599,07/2023,258,NO,2,$27480,03/2002,2008,No,UNKNOWN
12,2,2,Mastercard,Debit,5766352389579834,02/2020,992,YES,1,$26743,03/2019,2019,No,UNKNOWN
13,2,3,Visa,Debit,4242015583697294,06/2020,928,YES,1,$31463,04/2014,2014,No,Gold
14,2,4,Mastercard,Debit,5191030913182493,06/2024,360,YES,1,$16055,09/2009,2009,No,Business
15,3,0,Visa,Credit,4017261190134817,05/2015,877,YES,2,$98100,01/2011,2011,No,Classic
16,3,1,Mastercard,Debit (Prepaid),5581970288727991,06/2020,448,YES,1,$62,02/2007,2007,No,Standard
17,3,2,Visa,Debit,4032240655674503,06/2022,53,YES,1,$132439,11/2010,2011,No,Platinum
18,3,3,Visa,Debit,4935974646456357,06/2020,649,YES,1,$125723,10/2009,2010,No,Classic
19,4,0,Mastercard,Debit,5905027855347659,01/2022,886,YES,1,$34900,12/1999,2012,No,Standard
20,5,0,Visa,Credit,4099623033306950,09/2021,74,YES,2,$9900,01/2002,2019,No,Classic
21,5,1,Visa,Debit,4281200324251212,07/2013,865,YES,2,$21587,09/2007,2007,No,Classic
22,5,2,Visa,Credit,4411456925570768,11/2022,922,YES,2,$15800,11/2005,2011,No,Classic
23,6,0,Mastercard,Debit,5202477865497336,04/2022,861,YES,1,$29964,06/2005,2014,No,Business
24,6,1,Mastercard,Credit,5089768442116305,07/2023,686,YES,2,$11200,09/2010,2010,No,Classic
25,6,2,Mastercard,Debit,5767339719294372,12/2021,669,NO,2,$26753,10/2014,2014,No,UNKNOWN
26,7,0,Visa,Debit,4595831603224644,05/2023,689,NO,2,$17480,01/2020,2020,No,Signature
27,8,0,Mastercard,Debit,5341049613275152,09/2021,396,YES,2,$26546,11/2009,2009,No,Standard
28,8,1,Mastercard,Debit,5668831527649353,01/2021,356,YES,1,$23253,09/2017,2017,No,UNKNOWN
29,8,2,Visa,Credit,4400056931148232,02/2021,497,YES,1,$16100,01/2005,2014,No,UNKNOWN
30,8,3,Visa,Credit,4808554251869440,02/2021,921,YES,2,$8700,01/2012,2012,No,Purchasing With Fleet
31,8,4,Mastercard,Debit,5224739362243611,01/2019,922,YES,1,$29333,05/2012,2012,No,Electron
32,9,0,Mastercard,Debit,5294178176133532,07/2024,265,YES,2,$9496,07/2009,2012,No,Business
33,10,0,Visa,Debit,4857799018106614,07/2021,930,YES,1,$25499,02/2020,2020,No,Traditional
34,10,1,Visa,Debit,4324062360619923,02/2020,358,YES,1,$18641,02/2020,2020,No,Classic
35,11,0,Visa,Debit,4852639114720724,05/2023,995,YES,1,$26019,01/2020,2020,No,UNKNOWN
36,12,0,Mastercard,Debit,5656383455895230,01/2021,547,YES,1,$25845,02/2020,2020,No,UNKNOWN
37,13,0,Visa,Debit,4556928160477229,06/2023,64,YES,2,$2365,01/2007,2009,No,Business
38,13,1,Mastercard,Debit,5515782790823587,06/2023,419,YES,2,$18684,07/2006,2017,No,Standard
39,13,2,Visa,Credit,4508388296516458,02/2021,364,NO,2,$7400,02/2020,2020,No,Gold
40,14,0,Mastercard,Debit,5548265564669334,12/2024,145,YES,2,$4147,12/2008,2016,No,Standard
41,15,0,Visa,Debit (Prepaid),4986270376099447,04/2022,385,YES,1,$76,12/2012,2012,No,Classic
42,15,1,Discover,Credit,6726060094896113,01/2009,105,NO,1,$4700,12/2008,2014,No,UNKNOWN
43,15,2,Visa,Credit,4157109762296149,06/2021,433,YES,2,$5800,08/2007,2011,No,Classic
44,15,3,Mastercard,Debit,5231462717450524,03/2024,754,YES,2,$12082,08/2016,2016,No,Standard
45,15,4,Mastercard,Credit,5074836567307562,03/2023,741,NO,2,$6000,06/2002,2010,No,UNKNOWN
